Key,Source,Context,Changes,Spanish,japanese,german
attprestige,progression,Attribute,New,Prestige Perks,プレステージ,Prestige-Talente
attPrestigeNeme,progression,Attribute,New,Habilidades Prestige,プレステージスキル,Prestige Skills
attPrestigeDesc,progression,Attribute,New,"Gasta algunos de tus puntos de habilidad sobrantes en éstas geniales habilidades extra!",余分なスキルポイントをきちんとした追加効果に使いましょう!,Investiere deine überschüssigen Talentpunkte in ein paar ordentliche Boni.
PrestigeBase,progression,Attribute,New,"Desbloquea Prestige",プレステージ開放, Prestige freischalten
PrestigeLongDesc,progression,Attribute,New,"Has desbloqueado las habilidades de Prestige y ahora has obtenido acceso completo a un montón de nuevas habilidades. Felicidades!",プレステージスキルがアンロックされ、新しいスキルセットを仕様できるようになりました。おめでとうございます。,Du hast die Prestige Skills freigeschaltet und hast nun Zugang zu einer Menge neuer Fähigkeiten. Glückwunsch!

Physical,progression,skills,New,"Físico",身体能力,Physisch
Mental,progression,skills,New,"Intelecto",精神力,Mental
MeleeMasteries,progression,skills,New,"Dominio Cuerpo a Cuerpo",近接マスター,Nahkampfmeisterschaften
RangedMasteries,progression,skills,New,"Dominio a Distancia",遠距離マスター,Fernkampfmeisterschaften
Luck,progression,skills,New,"Fortuna",幸運,Glück

PhysicalDesc,progression,skills,New,"Ventajas para aumentar tus habilidades físicas!",強さ、忍耐系,Talente zur Erhöhung physischer Eigenschaften!
MentalDesc,progression,skills,New,"Ventajas para aumentar algunas de tus habilidades intelectuales!",知覚、知能系,Talente zur Erhöhung mentaler Eigenschaften!
MeleeMasteriesDesc,progression,skills,New,"Ventajas para dominar el cuerpo a cuerpo!",ツールを含む近接系,Talente zur Beherrschung des Nahkampfes!
RangedMasteriesDescname="perkCorpseExploiting" ,progression,skills,New,"Ventajas para aumentar el dominio a distancia!",爆発物を含む遠距離系,Talente zur Beherrschung des Fernkampfes!
LuckDesc,progression,skills,New,"Ventajas para aumentar tu fortuna en distintas formas!",素早さ、知覚、幸運系,Talente, die auf verschiedene Weisen dein Glück erhöhen!

AcrobaticsName,progression,Attribute,New,"Acrobacias",アクロバティック, Akrobatik
AcrobaticsDesc,progression,Attribute,New,"Te has vuelto bastante ágil y has aprendido como evitar lesiones al caer de grandes alturas.",不意に落下しても怪我をしないようにする方法を学びました。,"Du bist ziemlich gelenkig und hast gelernt, Verletzungen durch unkontrollierte Stürze zu vermeiden."
AcrobaticsRank1Desc,progression,Attribute,New,+1m Distacia segura de caida,落下可能距離+1m,+1m sichere Falldistanz
AcrobaticsRank2Desc,progression,Attribute,New,"+2m Distacia segura de caida",落下可能距離+2m,+2m sichere Falldistanz
